asin,ship_state_or_territory,regional_orders,rank
B09SDY8DCT,kerala,28,1
B09SDXFFQ1,kerala,28,1
B0894X27FC,uttar pradesh,26,1
B09SDXFFQ1,telangana,23,2
B099NR7612,tamil nadu,22,1
B08B3Z2YY3,uttar pradesh,21,1
B09SDXRYBG,maharashtra,21,1
B09SDXFFQ1,karnataka,20,3
B09SDXFFQ1,maharashtra,20,4
B09NQ4NM75,karnataka,20,1
B09SDY4VDC,maharashtra,19,1
B09SDY9SQ6,kerala,18,1
B09SDXRYBG,karnataka,18,2
B081WY1SP3,karnataka,17,1
B081WSCKPQ,telangana,16,1
B09SDYQ3WG,kerala,16,2
B09SDYQ3WG,maharashtra,16,1
B08TH4MQD2,maharashtra,16,1
B08XNJG8B1,uttar pradesh,16,1
B081WX4G4Q,maharashtra,16,1
B09SDXFFQ1,andhra pradesh,15,5
B09SDYQ3WG,karnataka,15,3
B081WVMMCY,maharashtra,15,1
B09SDY8DCT,telangana,14,2
B09SDYQ3WG,tamil nadu,14,4
B09SDXSQ33,kerala,14,1
B09SDY8DCT,karnataka,14,3
B0894XH3LN,uttar pradesh,14,1
B09KXT4VG7,maharashtra,14,1
B09SDY8DCT,maharashtra,13,4
B09SDYQ3WG,uttar pradesh,13,5
B08XNJG8B1,maharashtra,13,2
B09SDXFFQ1,uttar pradesh,13,6
B09SDXRYBG,kerala,13,3
B09RKCVWFR,karnataka,12,1
B09SDYJ5ZW,telangana,12,1
B081WSCKPQ,maharashtra,12,2
B08XNJG8B1,karnataka,12,3
B08XQ98B2Q,maharashtra,12,1
B08KRXV1QR,karnataka,11,1
B081WVMMCY,uttar pradesh,11,2
B08XNJ19QH,uttar pradesh,11,1
B09SDY8DCT,uttar pradesh,11,5
B081X7JHBC,maharashtra,11,1
B08XQ8MJZG,maharashtra,11,1
B09SDXFFQ1,tamil nadu,11,7
B0983F2ZJW,andhra pradesh,11,1
B0894WW15B,maharashtra,11,1
B099NRCT7B,telangana,11,1
B09KXV4BN8,karnataka,11,1
B09SDXRYBG,uttar pradesh,11,4
B09NQ3TN2T,maharashtra,10,1
B099NR7612,telangana,10,3
B099NR7612,andhra pradesh,10,2
B08XNHXSFZ,maharashtra,10,1
B077MM3LFJ,karnataka,10,1
B08XNDL1DL,uttar pradesh,10,1
B09SDXRYBG,andhra pradesh,10,5
B09K3S3FFN,andhra pradesh,10,1
B081WSCKPQ,kerala,9,3
B0894WW15B,karnataka,9,2
B09RKFDT7Q,karnataka,9,1
B09NQ4DD29,maharashtra,9,1
B089G2L483,tamil nadu,9,1
B09SDY9SQ6,karnataka,9,3
B08XQBF1G4,tamil nadu,9,1
B0982ZDB2S,maharashtra,9,1
B0894XKVH3,uttar pradesh,9,1
B08XNJ19QH,bihar,9,2
B09SDYQ3WG,telangana,9,6
B08XNJ19QH,maharashtra,9,3
B09NQ4XYV9,karnataka,9,1
B099NRCT7B,karnataka,9,2
B0894X27FC,karnataka,9,2
B07MY3TV42,maharashtra,9,1
B09NQ44RNV,karnataka,9,1
B082W8F8P3,kerala,9,2
B082W8F8P3,karnataka,9,1
B09KXT4VG7,karnataka,9,2
B082W84Q2J,maharashtra,9,1
B082W7MZVQ,tamil nadu,9,1
B09SDY9SQ6,telangana,9,2
B09SDXSQ33,karnataka,9,2
B081WX4G4Q,tamil nadu,9,2
B082W7MZVQ,karnataka,9,2
B099NMQR6C,maharashtra,9,1
B09SDZ4XRT,maharashtra,9,1
B08WPZ1N4Z,maharashtra,8,1
B09NQ4DD29,uttar pradesh,8,2
B07R5X9WJB,tamil nadu,8,3
B099NFZJVC,maharashtra,8,1
B099NK55YG,maharashtra,8,1
B08XQ8MCKP,maharashtra,8,1
B081WT6GG7,maharashtra,8,1
B08KRXV1QR,maharashtra,8,2
B07R5X9WJB,andhra pradesh,8,2
B08RP69C9N,maharashtra,8,1
B081WVMMCY,andhra pradesh,8,3
B081WSCKPQ,tamil nadu,8,4
B09KXWW582,maharashtra,8,1
B0894XH3LN,maharashtra,8,2
B0894WW15B,uttar pradesh,8,3
B09TH73PT5,karnataka,8,1
B081X921QM,kerala,8,1
B09SDY8DCT,delhi,8,6
B09SDY8DCT,tamil nadu,8,7
B08BJR2R7M,tamil nadu,8,1
B08B3Z2YY3,karnataka,8,2
B09SDYNZQ5,maharashtra,8,1
B09RKFDT7Q,maharashtra,8,2
B09SDXSQ33,maharashtra,8,3
B09SDYQ3WG,delhi,8,7
B07R5X9WJB,telangana,8,1
B0894X27FC,maharashtra,8,3
B09SDY4VDC,uttar pradesh,8,2
B09SDXSQ33,andhra pradesh,7,4
B09SDXRYBG,telangana,7,6
B07R52578F,tamil nadu,7,1
B0982Z1994,telangana,7,1
B082W84Q2J,karnataka,7,3
B0822TDMYH,karnataka,7,1
B08QGHTFWF,telangana,7,1
B081WZ4T3V,maharashtra,7,1
B09SDY8DCT,west bengal,7,9
B08B3XS7ST,uttar pradesh,7,1
B082W8BXW1,maharashtra,7,1
B082W84Q2J,tamil nadu,7,2
B0894WWGK9,maharashtra,7,1
B09YYLLBK6,telangana,7,1
B08RYPRVPV,maharashtra,7,1
B09SDY8DCT,andhra pradesh,7,8
B081WSL2JS,maharashtra,7,1
B0894WW15B,telangana,7,4
B0894XKVH3,karnataka,7,2
B08XQ98B2Q,delhi,7,2
B099NQQ79L,telangana,7,2
B08XQ98B2Q,uttar pradesh,7,3
B099NQQ79L,tamil nadu,7,1
B081WX4G4Q,uttar pradesh,7,3
B081XCMYXJ,maharashtra,7,1
B0894XH3LN,karnataka,7,3
B082W872VQ,kerala,7,1
B0828PD16L,karnataka,7,1
B09SDXPHNC,kerala,7,1
B09TZX7G1Q,uttar pradesh,7,1
B08XNDL1DL,gujarat,7,2
B07GRSF1FC,maharashtra,7,1
B07H7DZXJ5,tamil nadu,7,1
B082W7GVH7,karnataka,7,1
B08XNHXSFZ,karnataka,7,2
B099NSQP4Z,maharashtra,7,1
B081WT6GG7,tamil nadu,7,2
B08XQ8R6GW,karnataka,7,1
B09NQ4NM75,bihar,7,2
B09TH73PT5,maharashtra,7,2
B0894Y3VBB,delhi,7,1
B09SDY9SQ6,maharashtra,7,4
B09NDKN86H,karnataka,7,1
B0983F9JL2,karnataka,7,1
B08XQBF1G4,karnataka,7,2
B08XQBF1G4,uttar pradesh,7,3
B099FCT65D,maharashtra,7,1
B09KXV4BN8,maharashtra,7,2
B082W8354V,tamil nadu,7,1
B09NQ4C51C,maharashtra,7,1
B09SDYL6L1,maharashtra,7,1
B094FNM537,telangana,7,1
B081WSL2JS,uttar pradesh,7,2
B099NQJZPQ,telangana,7,1
B09NQ54RRT,uttar pradesh,7,1
B09NQ3MPRM,karnataka,7,1
B08RP2Y81T,maharashtra,6,1
B09DY9HV4N,uttar pradesh,6,1
B0894XKVH3,bihar,6,3
B09SDY9SQ6,delhi,6,5
B0894XKVH3,maharashtra,6,4
B099NNYQ1K,maharashtra,6,1
B082W8B28G,tamil nadu,6,1
B081WVMMCY,telangana,6,4
B081WY1SP3,maharashtra,6,2
B081WVMMCY,tamil nadu,6,5
B09SDXG1CP,telangana,6,1
B0894X711G,maharashtra,6,1
B09RKD5K4Z,tamil nadu,6,1
B09SDY51NS,andhra pradesh,6,1
B08XQ98B2Q,haryana,6,4
B089G2JV7X,tamil nadu,6,1
B089G2JV7X,kerala,6,2
B08B3YWTLK,maharashtra,6,1
B09B3HRDLP,maharashtra,6,1
B099FCVXXD,maharashtra,6,1
B091Q86HCQ,assam,6,1
B08RNX8Q22,maharashtra,6,1
B08YN44FZJ,karnataka,6,1
B09SDZ4FH9,karnataka,6,1
B08XNHXSFZ,uttar pradesh,6,3
B09SDXSQ33,tamil nadu,6,5
B09NQ44RNV,maharashtra,6,2
B07S8WFN2J,kerala,6,1
B08KRTXC2Y,maharashtra,6,1
B0925XD2Q6,telangana,6,1
B099NR3NXY,telangana,6,1
B0983D28F9,karnataka,6,1
B082W87NQF,kerala,6,1
B081WSCKPQ,gujarat,6,5
B094FKN153,maharashtra,6,1
B081WSCKPQ,west bengal,6,6
B082W8RWN1,karnataka,6,1
B08XQBXFPP,telangana,6,1
B081X921QM,karnataka,6,2
B09RKF8L5N,maharashtra,6,1
B0894X27FC,telangana,6,4
B08XQBXFPP,maharashtra,6,2
B099NJKJ54,telangana,6,1
B0894Y3VBB,uttar pradesh,6,2
B08XNJ19QH,gujarat,6,4
