asin,ship_state_or_territory,category,regional_orders,rank
B09SDXFFQ1,karnataka,western dress,124,1
B09SDY8DCT,kerala,western dress,114,1
B09SDXFFQ1,maharashtra,western dress,112,2
B09SDXFFQ1,kerala,western dress,102,3
B08XNJG8B1,maharashtra,set,95,1
B09SDYQ3WG,kerala,western dress,94,1
B09SDY4VDC,maharashtra,western dress,93,1
B08XQ98B2Q,maharashtra,set,91,1
B081WX4G4Q,maharashtra,kurta,89,1
B09SDYQ3WG,maharashtra,western dress,88,2
B09SDXRYBG,maharashtra,western dress,86,1
B09SDYQ3WG,karnataka,western dress,85,3
B09SDY8DCT,karnataka,western dress,80,2
B09SDXRYBG,karnataka,western dress,79,2
B08XQBF1G4,maharashtra,set,78,1
B081WSCKPQ,maharashtra,kurta,77,1
B08XQ8MCKP,maharashtra,set,77,1
B08XNJ19QH,maharashtra,set,76,1
B08XQBF1G4,karnataka,set,75,2
B081WVMMCY,maharashtra,kurta,73,1
B09SDXFFQ1,telangana,western dress,72,4
B08XNJG8B1,uttar pradesh,set,72,2
B09SDY8DCT,maharashtra,western dress,71,3
B09SDY9SQ6,kerala,western dress,70,1
B09SDY9SQ6,maharashtra,western dress,69,2
B08XNJG8B1,karnataka,set,69,3
B09KXV4BN8,karnataka,set,67,1
B09SDXSQ33,maharashtra,western dress,65,1
B09SDXRYBG,kerala,western dress,64,3
B09SDYQ3WG,tamil nadu,western dress,62,4
B0894X27FC,uttar pradesh,set,62,1
B08XNJ19QH,uttar pradesh,set,59,2
B08XQ8MJZG,maharashtra,set,58,1
B09NQ4NM75,karnataka,set,58,1
B08KRXV1QR,maharashtra,kurta,58,1
B09SDY8DCT,tamil nadu,western dress,58,4
B08XQ8MCKP,karnataka,set,57,2
B09SDXSQ33,kerala,western dress,56,2
B09SDXFFQ1,tamil nadu,western dress,56,5
B081WSCKPQ,karnataka,kurta,55,2
B08B3Z2YY3,uttar pradesh,set,55,1
B09SDXSQ33,karnataka,western dress,55,3
B082W84Q2J,karnataka,kurta,54,1
B09SDY4VDC,karnataka,western dress,53,2
B081XCMYXJ,maharashtra,kurta,53,1
B099NRCT7B,telangana,western dress,53,1
B081WSCKPQ,telangana,kurta,53,3
B09SDY8DCT,uttar pradesh,western dress,53,5
B08XNJ19QH,karnataka,set,52,3
B09SDY9SQ6,karnataka,western dress,52,3
B08XNDL1DL,maharashtra,set,52,1
B09SDXRYBG,telangana,western dress,52,4
B099NR7612,telangana,western dress,51,1
B082W7MZVQ,maharashtra,kurta,51,1
B0894Y3VBB,maharashtra,set,51,1
B08XNHXSFZ,maharashtra,set,50,1
B0894WW15B,maharashtra,set,50,1
B081WSCKPQ,uttar pradesh,kurta,50,4
B09SDY4VDC,telangana,western dress,50,3
B09NQ4NM75,maharashtra,set,50,2
B099NR7612,tamil nadu,western dress,50,2
B082W84Q2J,tamil nadu,kurta,49,2
B09KXT4VG7,karnataka,set,49,1
B099NRCT7B,karnataka,western dress,49,2
B0894X27FC,maharashtra,set,49,2
B081WVMMCY,uttar pradesh,kurta,49,2
B09SDY8DCT,telangana,western dress,49,6
B082W8B28G,tamil nadu,kurta,48,1
B0894XH3LN,uttar pradesh,set,48,1
B081WSCKPQ,tamil nadu,kurta,48,5
B09SDYQ3WG,uttar pradesh,western dress,48,5
B08KRXV1QR,karnataka,kurta,48,2
B081WZ4T3V,maharashtra,kurta,47,1
B081WX4G4Q,west bengal,kurta,47,2
B09KXT4VG7,maharashtra,set,46,2
B08XNDL1DL,uttar pradesh,set,46,2
B09SDYQ3WG,telangana,western dress,46,6
B099NSQP4Z,maharashtra,western dress,45,1
B081X7JHBC,maharashtra,kurta,45,1
B099NR3NXY,maharashtra,western dress,44,1
B081WX4G4Q,uttar pradesh,kurta,44,3
B0982ZDB2S,maharashtra,western dress,44,1
B09SDXFFQ1,uttar pradesh,western dress,44,6
B099NQQ79L,karnataka,western dress,43,1
B08B3Z2YY3,maharashtra,set,43,2
B09NQ44RNV,karnataka,set,43,1
B099NRCT7B,maharashtra,western dress,42,3
B09SDXFFQ1,andhra pradesh,western dress,42,7
B0894WW15B,karnataka,set,42,2
B08XQ98B2Q,karnataka,set,42,2
B082W7MZVQ,tamil nadu,kurta,42,2
B081WSWWL7,tamil nadu,kurta,42,1
