asin,category,total_orders,orders_at_discount,units_sold,median_unit_price,revenue
B09SDXFFQ1,western dress,604,588,605,735,449852
B09SDY8DCT,western dress,510,504,515,735,384455
B09SDYQ3WG,western dress,462,450,463,735,346542
B081WSCKPQ,kurta,442,234,445,399,181141
B08XNJG8B1,set,431,351,432,1112,496430
B08XNJ19QH,set,389,282,390,1112,442704
B081WX4G4Q,kurta,372,240,375,399,154673
B09SDXRYBG,western dress,371,353,372,771,280261
B09SDY9SQ6,western dress,344,320,348,735,259793
B08XQBF1G4,set,341,173,342,788,264096
B09SDXSQ33,western dress,336,314,336,735,248733
B09SDY4VDC,western dress,328,311,329,735,244942
B08XQ8MCKP,set,325,173,326,788,250588
B081WVMMCY,kurta,317,235,318,399,130496
B08XQ98B2Q,set,316,175,318,788,245634
B08B3Z2YY3,set,270,270,270,759,204147
B08KRXV1QR,kurta,267,168,267,399,106743
B0894X27FC,set,258,227,258,659.5,172318
B08XNDL1DL,set,249,176,250,1146,289808
B082W7MZVQ,kurta,248,135,248,376,93878
B099NRCT7B,western dress,243,201,244,744,200912
B099NQQ79L,western dress,242,231,244,744,201247
B082W84Q2J,kurta,239,118,240,435,105236
B09NQ4NM75,set,239,226,239,597,145469
B09KXV4BN8,set,229,185,229,635,145237
B081WZ4T3V,kurta,221,102,223,399,91533
B099NR7612,western dress,216,203,218,791,180873
B0894XH3LN,set,211,211,213,654,141166
B081XCMYXJ,kurta,202,106,204,399,82056
B09NQ44RNV,set,203,175,203,597,124003
B08XNJ8P3S,set,199,109,201,1163,238807
B082W8RWN1,kurta,193,88,195,376,73692
B0894WW15B,set,192,138,194,664,129478
B0894Y3VBB,set,193,165,194,655,129236
B081WSWWL7,kurta,192,56,193,471,90661
B099NR3NXY,western dress,187,169,189,885,166400
B07R4XJNW3,kurta,184,76,187,442,84514
B08XNHXSFZ,set,186,152,186,1112,209711
B082W8B28G,kurta,184,97,184,435,80832
B099NK55YG,set,183,169,183,569,104857
B099NQJZPQ,western dress,179,145,179,744,145862
B081WT6GG7,kurta,170,100,175,399,71515
B08XQ8MJZG,set,173,87,173,788,134344
B082W8354V,kurta,171,85,171,435,74683
B0828PD16L,kurta,171,114,171,471,80519
B081WSL2JS,kurta,168,91,168,399,68050
B09KXT4VG7,set,167,117,168,635,107673
B09NQ3TN2T,set,167,114,168,597,103242
B09KXV6T8Q,set,166,125,166,635,105207
B099NSQP4Z,western dress,166,121,166,885,144923
B0894XKVH3,set,160,147,161,654,107790
B09SDXWNPZ,western dress,159,143,160,735,120001
B08RYPRVPV,top,159,87,159,574,94214
B08XQBXFPP,set,151,92,159,788,122682
B0982ZDB2S,western dress,159,91,159,786,131287
B082W8BXW1,kurta,159,68,159,376,60156
B081WY1SP3,kurta,157,102,157,399,63763
B08KRTXC2Y,kurta,155,91,157,399,62913
B08KRXTFXH,kurta,156,80,156,399,62494
B082W8F8P3,kurta,156,89,156,376,58722
B08RYPWC3J,top,155,92,156,574,94174
B0894YTN3H,set,154,79,154,1075,167132
B081X7JHBC,kurta,153,67,153,399,61627
B09KXWW582,set,151,118,153,635,96857
