asin,category,total_orders,orders_at_discount,units_sold,median_unit_price,missed_revenue
B09SDXFFQ1,western dress,169,43,169,735,123240
B09SDY8DCT,western dress,147,37,147,735,106585
B09SDYQ3WG,western dress,125,27,125,735,91631
B09SDXRYBG,western dress,103,35,104,735,77337
B081WSCKPQ,kurta,93,2,94,399,37843
B09SDY9SQ6,western dress,87,26,87,735,63669
B081WVMMCY,kurta,77,15,77,399,30494
B08XNJG8B1,set,75,4,76,1112,85706
B0894X27FC,set,76,10,76,654,49538
B08B3Z2YY3,set,73,19,73,722.86,53615
B0894XH3LN,set,73,20,73,654,47375
B081WX4G4Q,kurta,71,7,71,399,28303
B08XQ98B2Q,set,71,3,71,788,55280
B09NQ4NM75,set,66,12,67,597,40477
B08XNJ19QH,set,63,11,64,1112,70593
B099NR7612,western dress,62,8,62,744,51173
B0894WW15B,set,60,5,60,664,39126
B09SDXSQ33,western dress,59,15,59,734.29,42669
B09SDY4VDC,western dress,58,11,58,735,42459
B0894XKVH3,set,55,14,55,654,35952
B099NQQ79L,western dress,53,6,53,744,42088
B081WY1SP3,kurta,51,3,51,399,20728
B09KXT4VG7,set,49,9,50,635,31716
B08KRXV1QR,kurta,50,2,50,399,19836
B099NRCT7B,western dress,49,1,49,744,38529
B08XNDL1DL,set,48,2,48,1112,54729
B08XQBF1G4,set,45,0,45,788,34935
B09KXV4BN8,set,43,4,43,635,27194
B07R5X9WJB,kurta,42,8,43,442,19017
B09RKFDT7Q,set,43,15,43,799,33955
B0894Y3VBB,set,42,7,42,654,27575
B08XNHXSFZ,set,42,2,42,1112,46503
B082W84Q2J,kurta,42,0,42,435,18472
B08XNJ8P3S,set,42,3,42,1163,49301
B08XQBXFPP,set,41,0,41,788,31640
B09NQ44RNV,set,40,8,40,597,24182
B082W8F8P3,kurta,40,3,40,376,14987
B081WT6GG7,kurta,39,1,39,399,16024
B09NQ4DD29,set,39,5,39,604.76,23548
B08XQ8R6GW,set,37,2,38,788,29188
B09NQ47F17,set,38,1,38,597,22836
B08XQ8MCKP,set,37,0,37,788,28616
B082W7MZVQ,kurta,36,4,36,376,13471
B081WSWWL7,kurta,36,2,36,471,16934
B099NJKJ54,set,35,8,35,563,19846
B081WPK66G,kurta,34,3,34,379,13013
B099FDMD6T,kurta,34,6,34,292,10000
B0822TDMYH,set,34,8,34,788,26341
B099NQJZPQ,western dress,34,4,34,744,26163
B082W8RWN1,kurta,34,1,34,376,12802
B0894WWGK9,set,33,3,33,1133,36868
B081WSL2JS,kurta,33,2,33,399,13213
B08XQ8MJZG,set,33,0,33,788,25663
B09SDXG1CP,western dress,32,9,33,735,24027
B09TH73PT5,western dress,32,2,32,771,24454
B081XCMYXJ,kurta,32,1,32,399,12854
B09NQ4CZ65,set,31,8,31,597,18610
B0828PD16L,kurta,31,5,31,471,14444
B081X7JHBC,kurta,31,0,31,399,12434
B08B3YWTLK,kurta,31,3,31,399,12034
B0894YFQ5R,set,31,10,31,662.86,20912
B09SDZ4FH9,kurta,30,5,30,735,22048
B09NQ3TN2T,set,30,4,30,597,18280
B09KXWW582,set,30,5,30,626,18675
B09NQ4XYV9,set,30,4,30,597,18160
B08B415N6S,set,30,4,30,599,19022
B081X921QM,kurta,30,1,30,471,14130
B09RKD6KWL,set,26,2,29,1058.93,31210
B08B3XS7ST,set,28,0,29,759,21675
B082W8B28G,kurta,29,2,29,435,12560
B07R4XJNW3,kurta,29,2,29,442,13133
B09K3TM23D,kurta,29,0,29,496,13973
B09SDYWXDS,western dress,28,7,29,735,21150
B082W8BXW1,kurta,28,1,28,376,10505
B0894YTN3H,set,28,3,28,1065,29756
B09SDZ4XRT,kurta,27,8,28,735,20751
B082W8354V,kurta,28,0,28,435,12230
B08KRZRSCL,kurta,27,4,27,399,10809
B099FC9KR1,kurta,27,3,27,292,7977
