week_start,total_orders,units_sold,orders_at_discount,avg_order_value,revenue,revenue_growth_pct
2022-03-28,3781,4090,2924,698,2640144,
2022-04-04,8873,9537,6660,688,6105367,131
2022-04-11,9063,9723,7005,686,6213862,2
2022-04-18,9459,10192,7581,681,6437191,4
2022-04-25,8618,9267,6861,687,5924302,-8
2022-05-02,9380,10089,7179,703,6594974,11
2022-05-09,6546,7049,5360,733,4798796,-27
2022-05-16,6471,6927,5307,734,4751941,-1
2022-05-23,7065,7591,5127,735,5194428,9
2022-05-30,7792,8375,5435,729,5680462,9
2022-06-06,8198,8828,5864,724,5936593,5
2022-06-13,6916,7418,5128,733,5070166,-15
2022-06-20,6393,6892,4966,722,4613210,-9
2022-06-27,1661,1767,1164,744,1235472,-73
