ship_state_or_territory,category,regional_orders
west bengal,kurta,2569
west bengal,set,2107
west bengal,western dress,614
west bengal,top,549
west bengal,ethnic dress,48
west bengal,blouse,37
west bengal,bottom,25
west bengal,saree,11
uttar pradesh,set,5152
uttar pradesh,kurta,3453
uttar pradesh,western dress,1014
uttar pradesh,top,792
uttar pradesh,blouse,90
uttar pradesh,ethnic dress,83
uttar pradesh,bottom,33
uttar pradesh,saree,16
telangana,kurta,4776
telangana,set,3869
telangana,western dress,1768
telangana,top,642
telangana,ethnic dress,137
telangana,blouse,87
telangana,bottom,38
telangana,saree,7
tamil nadu,kurta,5817
tamil nadu,set,3390
tamil nadu,western dress,1317
tamil nadu,top,691
tamil nadu,ethnic dress,97
tamil nadu,blouse,87
tamil nadu,bottom,51
tamil nadu,saree,28
maharashtra,kurta,8441
maharashtra,set,8188
maharashtra,western dress,2763
maharashtra,top,2419
maharashtra,ethnic dress,238
maharashtra,blouse,116
maharashtra,bottom,66
maharashtra,saree,20
kerala,kurta,2983
kerala,set,1942
kerala,western dress,1270
kerala,top,308
kerala,ethnic dress,30
kerala,blouse,25
kerala,bottom,20
kerala,saree,5
karnataka,kurta,6771
karnataka,set,6443
karnataka,western dress,2231
karnataka,top,1417
karnataka,blouse,199
karnataka,ethnic dress,176
karnataka,bottom,53
karnataka,saree,26
gujarat,set,1723
gujarat,kurta,1519
gujarat,western dress,688
gujarat,top,452
gujarat,ethnic dress,47
gujarat,blouse,28
gujarat,bottom,17
gujarat,saree,2
delhi,set,3194
delhi,kurta,2222
delhi,top,841
delhi,western dress,648
delhi,ethnic dress,68
delhi,blouse,46
delhi,bottom,15
delhi,saree,11
andhra pradesh,kurta,2579
andhra pradesh,set,1844
andhra pradesh,western dress,730
andhra pradesh,top,182
andhra pradesh,ethnic dress,40
andhra pradesh,blouse,32
andhra pradesh,bottom,18
andhra pradesh,saree,2
